#Rater,#image,Rating
1,1,2
2,1,2
3,1,2
4,1,3
5,1,2
6,1,4
7,1,1
8,1,2
9,1,2
10,1,4
11,1,3
12,1,3
13,1,3
14,1,3
15,1,3
16,1,3
17,1,3
18,1,3
19,1,3
20,1,3
21,1,2
22,1,2
23,1,2
24,1,2
25,1,2
26,1,1
27,1,1
28,1,2
29,1,2
30,1,2
31,1,2
32,1,3
33,1,2
34,1,2
35,1,3
36,1,3
37,1,3
38,1,2
39,1,2
40,1,3
41,1,3
42,1,3
43,1,2
44,1,3
45,1,3
46,1,2
47,1,3
48,1,2
49,1,3
50,1,2
52,1,2
54,1,2
55,1,3
56,1,3
57,1,3
58,1,3
59,1,4
60,1,4
61,1,2
62,1,4
63,1,4
64,1,4
65,1,4
66,1,2
67,1,4
68,1,4
72,1,2
73,1,2
74,1,2
75,1,2
1,2,3
2,2,3
3,2,3
4,2,4
5,2,3
6,2,4
7,2,3
8,2,4
9,2,3
10,2,5
11,2,3
12,2,3
13,2,3
14,2,4
15,2,4
16,2,4
17,2,4
18,2,4
19,2,4
20,2,4
21,2,3
22,2,3
23,2,3
24,2,3
25,2,3
26,2,1
27,2,2
28,2,3
29,2,2
30,2,3
31,2,3
32,2,3
33,2,3
34,2,3
35,2,4
36,2,4
37,2,4
38,2,3
39,2,3
40,2,4
41,2,4
42,2,4
43,2,2
44,2,4
45,2,4
46,2,3
47,2,4
48,2,3
49,2,4
50,2,3
52,2,2
54,2,3
55,2,4
56,2,4
57,2,4
58,2,4
59,2,4
60,2,4
61,2,2
62,2,4
63,2,4
64,2,4
65,2,4
66,2,3
67,2,5
68,2,5
72,2,2
73,2,2
74,2,2
75,2,2
1,3,2
2,3,2
3,3,2
4,3,3
5,3,2
6,3,3
7,3,1
8,3,4
9,3,2
10,3,4
11,3,2
12,3,2
13,3,2
14,3,2
15,3,3
16,3,3
17,3,3
18,3,3
19,3,3
20,3,3
21,3,2
22,3,2
23,3,2
24,3,2
25,3,2
26,3,1
27,3,1
28,3,2
29,3,1
30,3,2
31,3,2
32,3,2
33,3,2
34,3,2
35,3,3
36,3,3
37,3,3
38,3,2
39,3,2
40,3,3
41,3,3
42,3,3
43,3,1
44,3,3
45,3,3
46,3,2
47,3,3
48,3,2
49,3,3
50,3,2
51,3,3
52,3,2
54,3,2
55,3,3
56,3,3
57,3,3
58,3,3
59,3,3
60,3,3
61,3,2
62,3,3
63,3,3
64,3,3
65,3,4
66,3,2
67,3,4
68,3,5
69,3,2
72,3,2
73,3,1
74,3,2
75,3,2
1,4,3
2,4,3
3,4,3
4,4,3
5,4,3
6,4,4
7,4,2
8,4,4
9,4,3
